DATE,VIXCLS
2008-01-02,23.17
2008-01-03,22.49
2008-01-04,23.94
2008-01-07,23.79
2008-01-08,25.43
2008-01-09,24.12
2008-01-10,23.45
2008-01-11,23.68
2008-01-14,22.90
2008-01-15,23.34
2008-01-16,24.38
2008-01-17,28.46
2008-01-18,27.18
2008-01-21,.
2008-01-22,31.01
2008-01-23,29.02
2008-01-24,27.78
2008-01-25,29.08
2008-01-28,27.78
2008-01-29,27.32
2008-01-30,27.62
2008-01-31,26.20
2008-02-01,24.02
2008-02-04,25.99
2008-02-05,28.24
2008-02-06,28.97
2008-02-07,27.66
2008-02-08,28.01
2008-02-11,27.60
2008-02-12,26.33
2008-02-13,24.88
2008-02-14,25.54
2008-02-15,25.02
2008-02-18,.
2008-02-19,25.59
2008-02-20,24.40
2008-02-21,25.12
2008-02-22,24.06
2008-02-25,23.03
2008-02-26,21.90
2008-02-27,22.69
2008-02-28,23.53
2008-02-29,26.54
2008-03-03,26.28
2008-03-04,25.52
2008-03-05,24.60
2008-03-06,27.55
2008-03-07,27.49
2008-03-10,29.38
2008-03-11,26.36
2008-03-12,27.22
2008-03-13,27.29
2008-03-14,31.16
2008-03-17,32.24
2008-03-18,25.79
2008-03-19,29.84
2008-03-20,26.62
2008-03-21,.
2008-03-24,25.73
2008-03-25,25.72
2008-03-26,26.08
2008-03-27,25.88
2008-03-28,25.71
2008-03-31,25.61
2008-04-01,22.68
2008-04-02,23.43
2008-04-03,23.21
2008-04-04,22.45
2008-04-07,22.42
2008-04-08,22.36
2008-04-09,22.81
2008-04-10,21.98
2008-04-11,23.46
2008-04-14,23.82
2008-04-15,22.78
2008-04-16,20.53
2008-04-17,20.37
2008-04-18,20.13
2008-04-21,20.50
2008-04-22,20.87
2008-04-23,20.26
2008-04-24,20.06
2008-04-25,19.59
2008-04-28,19.64
2008-04-29,20.24
2008-04-30,20.79
2008-05-01,18.88
2008-05-02,18.18
2008-05-05,18.90
2008-05-06,18.21
2008-05-07,19.73
2008-05-08,19.40
2008-05-09,19.41
2008-05-12,17.79
2008-05-13,17.98
2008-05-14,17.66
2008-05-15,16.30
2008-05-16,16.47
2008-05-19,17.01
2008-05-20,17.58
2008-05-21,18.59
2008-05-22,18.05
2008-05-23,19.55
2008-05-26,.
2008-05-27,19.64
2008-05-28,19.07
2008-05-29,18.14
2008-05-30,17.83
2008-06-02,19.83
2008-06-03,20.24
2008-06-04,20.80
2008-06-05,18.63
2008-06-06,23.56
2008-06-09,23.12
2008-06-10,23.18
2008-06-11,24.12
2008-06-12,23.33
2008-06-13,21.22
2008-06-16,20.95
2008-06-17,21.13
2008-06-18,22.24
2008-06-19,21.58
2008-06-20,22.87
2008-06-23,22.64
2008-06-24,22.42
2008-06-25,21.14
2008-06-26,23.93
2008-06-27,23.44
2008-06-30,23.95
2008-07-01,23.65
2008-07-02,25.92
2008-07-03,24.8
2008-07-04,.
2008-07-07,25.78
2008-07-08,23.15
2008-07-09,25.23
2008-07-10,25.59
2008-07-11,27.49
2008-07-14,28.48
2008-07-15,28.54
2008-07-16,25.10
2008-07-17,25.01
2008-07-18,24.05
2008-07-21,23.05
2008-07-22,21.18
2008-07-23,21.31
2008-07-24,23.44
2008-07-25,22.91
2008-07-28,24.23
2008-07-29,22.03
2008-07-30,21.21
2008-07-31,22.94
2008-08-01,22.57
2008-08-04,23.49
2008-08-05,21.14
2008-08-06,20.23
2008-08-07,21.15
2008-08-08,20.66
2008-08-11,20.12
2008-08-12,21.17
2008-08-13,21.55
2008-08-14,20.34
2008-08-15,19.58
2008-08-18,20.98
2008-08-19,21.28
2008-08-20,20.42
2008-08-21,19.82
2008-08-22,18.81
2008-08-25,20.97
2008-08-26,20.49
2008-08-27,19.76
2008-08-28,19.43
2008-08-29,20.65
2008-09-01,.
2008-09-02,21.99
2008-09-03,21.43
2008-09-04,24.03
2008-09-05,23.06
2008-09-08,22.64
2008-09-09,25.47
2008-09-10,24.52
2008-09-11,24.39
2008-09-12,25.66
2008-09-15,31.70
2008-09-16,31.54
2008-09-17,36.22
2008-09-18,33.10
2008-09-19,32.07
2008-09-22,33.85
2008-09-23,35.72
2008-09-24,35.19
2008-09-25,32.82
2008-09-26,34.74
2008-09-29,46.72
2008-09-30,39.39
2008-10-01,39.81
2008-10-02,45.26
2008-10-03,45.14
2008-10-06,52.05
2008-10-07,53.68
2008-10-08,57.53
2008-10-09,63.92
2008-10-10,69.95
2008-10-13,54.99
2008-10-14,55.13
2008-10-15,69.25
2008-10-16,67.61
2008-10-17,70.33
2008-10-20,52.97
2008-10-21,53.11
2008-10-22,69.65
2008-10-23,67.80
2008-10-24,79.13
2008-10-27,80.06
2008-10-28,66.96
2008-10-29,69.96
2008-10-30,62.90
2008-10-31,59.89
2008-11-03,53.68
2008-11-04,47.73
2008-11-05,54.56
2008-11-06,63.68
2008-11-07,56.10
2008-11-10,59.98
2008-11-11,61.44
2008-11-12,66.46
2008-11-13,59.83
2008-11-14,66.31
2008-11-17,69.15
2008-11-18,67.64
2008-11-19,74.26
2008-11-20,80.86
2008-11-21,72.67
2008-11-24,64.70
2008-11-25,60.90
2008-11-26,54.92
2008-11-27,.
2008-11-28,55.84
2008-12-01,68.51
2008-12-02,62.98
2008-12-03,60.72
2008-12-04,63.64
2008-12-05,59.93
2008-12-08,58.49
2008-12-09,58.91
2008-12-10,55.73
2008-12-11,55.78
2008-12-12,54.28
2008-12-15,56.76
2008-12-16,51.29
2008-12-17,49.84
2008-12-18,47.34
2008-12-19,44.93
2008-12-22,44.56
2008-12-23,45.02
2008-12-24,44.21
2008-12-25,.
2008-12-26,43.38
2008-12-29,43.90
2008-12-30,41.63
2008-12-31,40.00
2009-01-01,.
2009-01-02,39.19
2009-01-05,39.08
2009-01-06,38.56
2009-01-07,43.39
2009-01-08,42.56
2009-01-09,42.82
2009-01-12,45.84
2009-01-13,43.27
2009-01-14,49.14
2009-01-15,51.00
2009-01-16,46.11
2009-01-19,.
2009-01-20,56.65
2009-01-21,46.42
2009-01-22,47.29
2009-01-23,47.27
2009-01-26,45.69
2009-01-27,42.25
2009-01-28,39.66
2009-01-29,42.63
2009-01-30,44.84
2009-02-02,45.52
2009-02-03,43.06
2009-02-04,43.85
2009-02-05,43.73
2009-02-06,43.37
2009-02-09,43.64
2009-02-10,46.67
2009-02-11,44.53
2009-02-12,41.25
2009-02-13,42.93
2009-02-16,.
2009-02-17,48.66
2009-02-18,48.46
2009-02-19,47.08
2009-02-20,49.30
2009-02-23,52.62
2009-02-24,45.49
2009-02-25,44.67
2009-02-26,44.66
2009-02-27,46.35
2009-03-02,52.65
2009-03-03,50.93
2009-03-04,47.56
2009-03-05,50.17
2009-03-06,49.33
2009-03-09,49.68
2009-03-10,44.37
2009-03-11,43.61
2009-03-12,41.18
2009-03-13,42.36
2009-03-16,43.74
2009-03-17,40.80
2009-03-18,40.06
2009-03-19,43.68
2009-03-20,45.89
2009-03-23,43.23
2009-03-24,42.93
2009-03-25,42.25
2009-03-26,40.36
2009-03-27,41.04
2009-03-30,45.54
2009-03-31,44.14
2009-04-01,42.28
2009-04-02,42.04
2009-04-03,39.70
2009-04-06,40.93
2009-04-07,40.39
2009-04-08,38.85
2009-04-09,36.53
2009-04-10,.
2009-04-13,37.81
2009-04-14,37.67
2009-04-15,36.17
2009-04-16,35.79
2009-04-17,33.94
2009-04-20,39.18
2009-04-21,37.14
2009-04-22,38.10
2009-04-23,37.15
2009-04-24,36.82
2009-04-27,38.32
2009-04-28,37.95
2009-04-29,36.08
2009-04-30,36.50
2009-05-01,35.30
2009-05-04,34.53
2009-05-05,33.36
2009-05-06,32.45
2009-05-07,33.44
2009-05-08,32.05
2009-05-11,32.87
2009-05-12,31.80
2009-05-13,33.65
2009-05-14,31.37
2009-05-15,33.12
2009-05-18,30.24
2009-05-19,28.80
2009-05-20,29.03
2009-05-21,31.35
2009-05-22,32.63
2009-05-25,.
2009-05-26,30.62
2009-05-27,32.36
2009-05-28,31.67
2009-05-29,28.92
2009-06-01,30.04
2009-06-02,29.63
2009-06-03,31.02
2009-06-04,30.18
2009-06-05,29.62
2009-06-08,29.77
2009-06-09,28.27
2009-06-10,28.46
2009-06-11,28.11
2009-06-12,28.15
2009-06-15,30.81
2009-06-16,32.68
2009-06-17,31.54
2009-06-18,30.03
2009-06-19,27.99
2009-06-22,31.17
2009-06-23,30.58
2009-06-24,29.05
2009-06-25,26.36
2009-06-26,25.93
2009-06-29,25.35
2009-06-30,26.35
2009-07-01,26.22
2009-07-02,27.95
2009-07-03,.
2009-07-06,29.00
2009-07-07,30.85
2009-07-08,31.30
2009-07-09,29.78
2009-07-10,29.02
2009-07-13,26.31
2009-07-14,25.02
2009-07-15,25.89
2009-07-16,25.42
2009-07-17,24.34
2009-07-20,24.40
2009-07-21,23.87
2009-07-22,23.47
2009-07-23,23.43
2009-07-24,23.09
2009-07-27,24.28
2009-07-28,25.01
2009-07-29,25.61
2009-07-30,25.40
2009-07-31,25.92
2009-08-03,25.56
2009-08-04,24.89
2009-08-05,24.90
2009-08-06,25.67
2009-08-07,24.76
2009-08-10,24.99
2009-08-11,25.99
2009-08-12,25.45
2009-08-13,24.71
2009-08-14,24.27
2009-08-17,27.89
2009-08-18,26.18
2009-08-19,26.26
2009-08-20,25.09
2009-08-21,25.01
2009-08-24,25.14
2009-08-25,24.92
2009-08-26,24.95
2009-08-27,24.68
2009-08-28,24.76
2009-08-31,26.01
2009-09-01,29.15
2009-09-02,28.90
2009-09-03,27.10
2009-09-04,25.26
2009-09-07,.
2009-09-08,25.62
2009-09-09,24.32
2009-09-10,23.55
2009-09-11,24.15
2009-09-14,23.86
2009-09-15,23.42
2009-09-16,23.69
2009-09-17,23.65
2009-09-18,23.92
2009-09-21,24.06
2009-09-22,23.08
2009-09-23,23.49
2009-09-24,24.95
2009-09-25,25.61
2009-09-28,24.88
2009-09-29,25.19
2009-09-30,25.61
2009-10-01,28.27
2009-10-02,28.68
2009-10-05,26.84
2009-10-06,25.70
2009-10-07,24.68
2009-10-08,24.18
2009-10-09,23.12
2009-10-12,23.01
2009-10-13,22.99
2009-10-14,22.86
2009-10-15,21.72
2009-10-16,21.43
2009-10-19,21.49
2009-10-20,20.90
2009-10-21,22.22
2009-10-22,20.69
2009-10-23,22.27
2009-10-26,24.31
2009-10-27,24.83
2009-10-28,27.91
2009-10-29,24.76
2009-10-30,30.69
2009-11-02,29.78
2009-11-03,28.81
2009-11-04,27.72
2009-11-05,25.43
2009-11-06,24.19
2009-11-09,23.15
2009-11-10,22.84
2009-11-11,23.04
2009-11-12,24.24
2009-11-13,23.36
2009-11-16,22.89
2009-11-17,22.41
2009-11-18,21.63
2009-11-19,22.63
2009-11-20,22.19
2009-11-23,21.16
2009-11-24,20.47
2009-11-25,20.48
2009-11-26,.
2009-11-27,24.85
2009-11-30,24.51
2009-12-01,21.92
2009-12-02,21.12
2009-12-03,22.46
2009-12-04,21.25
2009-12-07,22.10
2009-12-08,23.69
2009-12-09,22.66
2009-12-10,22.32
2009-12-11,21.59
2009-12-14,21.15
2009-12-15,21.49
2009-12-16,20.54
2009-12-17,22.51
2009-12-18,21.68
2009-12-21,20.49
2009-12-22,19.54
2009-12-23,19.71
2009-12-24,19.47
2009-12-25,.
2009-12-28,19.93
2009-12-29,20.01
2009-12-30,19.96
2009-12-31,21.68
